 

stn;time;sremaxdv;su2000d0
BAS;20231121;9;0.8
BAS;20231122;0;0.0
BAS;20231123;85;6.6
BAS;20231124;13;1.0
BAS;20231125;7;0.6
BAS;20231126;0;0.0
BAS;20231127;0;0.0
BAS;20231128;0;0.0
BAS;20231129;92;6.7
BAS;20231130;0;0.0
BAS;20231201;0;0.0
BAS;20231202;0;0.0
BAS;20231203;95;6.6
BAS;20231204;0;0.0
BAS;20231205;32;2.2
BAS;20231206;0;0.0
BAS;20231207;23;1.6
BAS;20231208;0;0.0
BAS;20231209;2;0.2
BAS;20231210;10;0.6
BAS;20231211;0;0.0
BAS;20231212;0;0.0
BAS;20231213;9;0.6
BAS;20231214;0;0.0
BAS;20231215;69;4.3
BAS;20231216;0;0.0
BAS;20231217;94;5.8
BAS;20231218;100;6.5
BAS;20231219;85;5.3
BAS;20231220;33;2.1
BAS;20231221;0;0.0
BAS;20231222;0;0.0
BAS;20231223;2;0.1
BAS;20231224;30;1.9
BAS;20231225;72;4.5
BAS;20231226;27;1.7
BAS;20231227;64;4.1
BAS;20231228;1;0.1
BAS;20231229;44;2.8
BAS;20231230;93;6.0
BAS;20231231;0;0.0
BAS;20240101;33;2.1
BAS;20240102;0;0.0
BAS;20240103;69;4.6
BAS;20240104;21;1.4
BAS;20240105;0;0.0
BAS;20240106;0;0.0
BAS;20240107;0;0.0
BAS;20240108;0;0.0
BAS;20240109;0;0.0
BAS;20240110;0;0.0
BAS;20240111;0;0.0
BAS;20240112;32;2.4
BAS;20240113;0;0.0
BAS;20240114;32;2.5
BAS;20240115;26;2.0
BAS;20240116;79;6.2
BAS;20240117;0;0.0
BAS;20240118;2;0.2
BAS;20240119;16;1.2
BAS;20240120;91;7.2
BAS;20240121;53;4.2
BAS;20240122;0;0.0
BAS;20240123;30;2.4
BAS;20240124;0;0.0
BAS;20240125;0;0.0
BAS;20240126;1;0.1
BAS;20240127;59;4.8
BAS;20240128;97;8.0
BAS;20240129;84;6.9
BAS;20240130;18;1.5
BAS;20240131;62;5.2
BAS;20240201;0;0.0
BAS;20240202;14;1.2
BAS;20240203;91;7.8
BAS;20240204;64;5.6
BAS;20240205;62;5.4
BAS;20240206;9;0.8
BAS;20240207;0;0.0
BAS;20240208;0;0.0
BAS;20240209;0;0.0
BAS;20240210;0;0.0
BAS;20240211;17;1.5
BAS;20240212;0;0.0
BAS;20240213;93;8.4
BAS;20240214;2;0.2
BAS;20240215;13;1.2
BAS;20240216;0;0.0
BAS;20240217;0;0.0
BAS;20240218;0;0.0
BAS;20240219;9;0.8
BAS;20240220;36;3.4
BAS;20240221;2;0.2
BAS;20240222;0;0.0
BAS;20240223;51;4.8
BAS;20240224;28;2.7
BAS;20240225;70;6.8
BAS;20240226;22;2.2
BAS;20240227;0;0.0
BAS;20240228;6;0.6
BAS;20240229;27;2.7
BAS;20240301;0;0.0
BAS;20240302;22;2.2
BAS;20240303;18;1.8
BAS;20240304;0;0.0
BAS;20240305;1;0.1
BAS;20240306;0;0.0
BAS;20240307;25;2.6
BAS;20240308;58;6.0
BAS;20240309;41;4.3
BAS;20240310;0;0.0
BAS;20240311;31;3.3
BAS;20240312;0;0.0
BAS;20240313;0;0.0
BAS;20240314;89;9.5
BAS;20240315;32;3.5
BAS;20240316;33;3.6
BAS;20240317;0;0.0
BAS;20240318;7;0.8
BAS;20240319;71;7.9
BAS;20240320;96;10.6
BAS;20240321;56;6.3
BAS;20240322;83;9.3
BAS;20240323;49;5.5
BAS;20240324;28;3.2
BAS;20240325;86;9.7
BAS;20240326;69;7.8
BAS;20240327;0;0.0
BAS;20240328;54;6.2
BAS;20240329;26;3.0
BAS;20240330;7;0.8
BAS;20240331;18;2.2
BAS;20240401;14;1.7
BAS;20240402;48;5.8
BAS;20240403;0;0.1
BAS;20240404;4;0.5
BAS;20240405;54;6.6
BAS;20240406;82;10.1
BAS;20240407;39;4.8
BAS;20240408;7;0.9
BAS;20240409;0;0.0
BAS;20240410;18;2.2
