 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304082100;7.1;9.1;0.0;0;0
BAS;202304082110;7.1;9.1;0.0;0;0
BAS;202304082120;7.0;9.0;0.0;0;0
BAS;202304082130;7.0;9.0;0.0;0;0
BAS;202304082140;7.1;8.9;0.0;0;0
BAS;202304082150;7.1;8.8;0.0;0;0
BAS;202304082200;7.1;8.6;0.0;0;0
BAS;202304082210;7.0;8.7;0.0;0;0
BAS;202304082220;7.0;8.5;0.0;0;0
BAS;202304082230;7.0;8.5;0.0;0;0
BAS;202304082240;7.0;8.2;0.0;0;0
BAS;202304082250;6.8;8.6;0.0;0;0
BAS;202304082300;6.9;8.4;0.0;0;0
BAS;202304082310;6.8;8.6;0.0;0;0
BAS;202304082320;6.4;8.5;0.0;0;0
BAS;202304082330;6.4;8.3;0.0;0;0
BAS;202304082340;6.2;8.4;0.0;0;0
BAS;202304082350;6.1;8.2;0.0;0;0
BAS;202304090000;6.1;7.9;0.0;0;0
BAS;202304090010;6.1;7.3;0.0;0;0
BAS;202304090020;6.1;7.3;0.0;0;0
BAS;202304090030;6.0;6.7;0.0;0;0
BAS;202304090040;6.0;6.7;0.0;0;0
BAS;202304090050;6.0;6.4;0.0;0;0
BAS;202304090100;6.0;6.7;0.0;0;0
BAS;202304090110;6.0;6.3;0.0;0;0
BAS;202304090120;6.0;5.8;0.0;0;0
BAS;202304090130;6.0;5.9;0.0;0;0
BAS;202304090140;6.1;6.1;0.0;0;0
BAS;202304090150;6.0;6.3;0.0;0;0
BAS;202304090200;6.0;6.1;0.0;0;0
BAS;202304090210;5.9;5.7;0.0;0;0
BAS;202304090220;5.9;6.1;0.0;0;0
BAS;202304090230;6.0;5.9;0.0;0;0
BAS;202304090240;5.9;5.7;0.0;0;0
BAS;202304090250;6.0;5.6;0.0;0;0
BAS;202304090300;5.9;5.4;0.0;0;0
BAS;202304090310;5.9;4.6;0.0;0;0
BAS;202304090320;5.9;5.1;0.0;0;0
BAS;202304090330;5.8;4.8;0.0;0;0
BAS;202304090340;5.9;5.0;0.0;0;0
BAS;202304090350;5.9;5.0;0.0;0;0
BAS;202304090400;5.9;5.0;0.0;0;0
BAS;202304090410;5.8;4.9;0.0;0;0
BAS;202304090420;5.8;4.8;0.0;0;0
BAS;202304090430;5.9;4.5;0.0;0;0
BAS;202304090440;5.7;4.3;0.0;0;0
BAS;202304090450;5.7;4.3;0.0;0;0
BAS;202304090500;5.7;4.2;0.0;0;0
BAS;202304090510;5.8;4.4;0.0;0;0
BAS;202304090520;5.7;4.0;0.0;0;0
BAS;202304090530;5.7;4.3;0.0;0;7
BAS;202304090540;5.8;4.7;0.0;0;10
BAS;202304090550;5.8;4.8;0.0;0;10
BAS;202304090600;5.8;4.8;0.0;0;10
BAS;202304090610;5.7;4.9;0.0;0;10
BAS;202304090620;5.8;5.2;0.0;0;10
BAS;202304090630;5.7;5.8;0.0;0;10
BAS;202304090640;5.9;6.3;0.0;0;10
BAS;202304090650;5.9;6.8;0.0;0;10
BAS;202304090700;5.8;7.2;0.0;0;10
BAS;202304090710;5.6;7.2;0.0;0;10
BAS;202304090720;5.8;7.4;0.0;0;10
BAS;202304090730;5.9;8.2;0.0;0;9
BAS;202304090740;5.7;7.7;0.0;0;5
BAS;202304090750;5.6;7.6;0.0;0;3
BAS;202304090800;5.6;7.7;0.0;0;7
BAS;202304090810;5.8;8.7;0.0;0;10
BAS;202304090820;5.7;8.5;0.0;0;10
BAS;202304090830;5.6;8.8;0.0;0;10
BAS;202304090840;5.6;8.9;0.0;0;10
BAS;202304090850;5.4;9.4;0.0;0;10
BAS;202304090900;5.6;9.9;0.0;0;10
BAS;202304090910;5.4;10.1;0.0;0;10
BAS;202304090920;5.5;10.6;0.0;0;10
BAS;202304090930;5.3;10.7;0.0;0;10
BAS;202304090940;5.3;11.1;0.0;0;10
BAS;202304090950;5.2;11.3;0.0;0;10
BAS;202304091000;5.2;12.1;0.0;0;10
BAS;202304091010;5.1;11.9;0.0;0;10
BAS;202304091020;4.8;12.1;0.0;0;10
BAS;202304091030;4.8;12.6;0.0;0;10
BAS;202304091040;5.2;12.1;0.0;0;10
BAS;202304091050;5.0;13.0;0.0;0;10
BAS;202304091100;4.7;12.5;0.0;0;10
BAS;202304091110;4.9;13.2;0.0;0;10
BAS;202304091120;5.1;13.3;0.0;0;10
BAS;202304091130;5.1;13.6;0.0;0;10
BAS;202304091140;4.8;13.0;0.0;0;10
BAS;202304091150;5.1;13.8;0.0;0;10
BAS;202304091200;4.8;13.4;0.0;0;10
BAS;202304091210;4.8;13.7;0.0;0;10
BAS;202304091220;4.8;13.6;0.0;0;10
BAS;202304091230;5.0;14.1;0.0;0;10
BAS;202304091240;5.1;14.3;0.0;0;10
BAS;202304091250;5.0;14.4;0.0;0;10
